time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-10-10,6,3,1614335320,1614335320,,,,1000000000,,,,,,1000000000,5,5,
2017-10-11,2,4,1614335320,1614335320,,,,0,,,,,,1000000000,1,1,
2017-10-12,0,4,1614335321,1614335321,,,,0,,,,,,1000000000,0,0,
2017-10-13,0,4,1614335321,1614335321,,,,0,,,,,,1000000000,0,0,
2017-10-14,0,4,1614335321,1614335321,,,,0,,,,,,1000000000,0,0,
2017-10-15,0,4,1614335321,1614335321,,,,0,,,,,,1000000000,0,0,
2017-10-16,0,4,1614335321,1614335321,,,,0,,,,,,1000000000,0,0,
2017-10-17,0,4,1614335321,1614335321,,,,0,,,,,,1000000000,0,0,
2017-10-18,2,4,1614335321,1614335321,,,,0,,,,,,1000000000,1,1,
2017-10-19,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-20,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-21,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-22,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-23,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-24,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-25,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-26,0,4,1614335322,1614335322,,,,0,,,,,,1000000000,0,0,
2017-10-27,0,4,1614335323,1614335323,,,,0,,,,,,1000000000,0,0,
2017-10-28,0,4,1614335323,1614335323,,,,0,,,,,,1000000000,0,0,
2017-10-29,0,4,1614335323,1614335323,,,,0,,,,,,1000000000,0,0,
2017-10-30,0,4,1614335323,1614335323,,,,0,,,,,,1000000000,0,0,
2017-10-31,0,4,1614335323,1614335323,,,,0,,,,,,1000000000,0,0,
2017-11-01,0,4,1614335324,1614335324,,,,0,,,,,,1000000000,0,0,
2017-11-02,0,4,1614335324,1614335324,,,,0,,,,,,1000000000,0,0,
2017-11-03,0,4,1614335324,1614335324,,,,0,,,,,,1000000000,0,0,
2017-11-04,0,4,1614335324,1614335324,,,,0,,,,,,1000000000,0,0,
2017-11-05,0,4,1614335324,1614335324,,,,0,,,,,,1000000000,0,0,
2017-11-06,2,5,1614335324,1614335324,80,229253355.824828,,0,0,0.0000328195700185837,0.229253355824828,,,1000000000,2,2,78637534.100135
2017-11-07,0,5,1614335324,1614335324,81.53329014,233647254.704851,,0,0,0.00003282391211349312,0.233647254704851,,,1000000000,0,0,1526174.74335831
2017-11-08,0,5,1614335325,1614335325,82.29600275,235832935.005254,,0,0,0.00003165027516420025,0.235832935005254,,,1000000000,0,0,3274284.21695213
2017-11-09,0,5,1614335325,1614335325,82.29600275,235832935.005254,,0,0,0.000033133129283383033,0.235832935005254,,,1000000000,0,0,0
2017-11-10,0,5,1614335325,1614335325,82.29600275,235832935.005254,,0,0,0.00003562125766931091,0.235832935005254,,,1000000000,0,0,0
2017-11-11,0,5,1614335325,1614335325,82.29600275,235832935.005254,,0,0,0.000037158229945122946,0.235832935005254,,,1000000000,0,0,0
2017-11-12,0,5,1614335325,1614335325,82.29600275,235832935.005254,,0,0,0.000040457879071642006,0.235832935005254,,,1000000000,0,0,0
2017-11-13,0,5,1614335325,1614335325,87.53198958,250837529.411137,,0,0,0.00003847528781801366,0.250837529411137,,,1000000000,0,0,4989664.54700066
2017-11-14,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.000038049648624341535,0.250837529411137,,,1000000000,0,0,0
2017-11-15,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.0000345631293965929,0.250837529411137,,,1000000000,0,0,0
2017-11-16,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.00003202029532063351,0.250837529411137,,,1000000000,0,0,0
2017-11-17,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.000032453933195524737,0.250837529411137,,,1000000000,0,0,0
2017-11-18,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.000032174521136226356,0.250837529411137,,,1000000000,0,0,0
2017-11-19,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.00003128305029896371,0.250837529411137,,,1000000000,0,0,0
2017-11-20,0,5,1614335326,1614335326,87.53198958,250837529.411137,,0,0,0.000030331480455717147,0.250837529411137,,,1000000000,0,0,0
2017-11-21,240,228,1614335327,1614335327,79.9999936,520549846.884931,,0,0,0.00006432896319407373,0.520549846884931,,,1000000000,262,262,25547524.7912787
2017-11-22,206,403,1614335327,1614335327,22.99112205,470557031.715535,,0,0,0.000057040000000000016,0.470557031715535,,,1000000000,224,224,2628899.54239315
2017-11-23,758,1078,1614335327,1614335327,22.88767321,462506680.769053,,0,0,0.000057299999999999936,0.462506680769053,,,1000000000,809,809,1722685.38784915
