date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-03-20,,3,,,,3,,
2017-03-21,,,,,,,,
2017-03-22,,,,,,,,
2017-03-23,,,,,,,,
2017-03-24,,,,,,,,
2017-03-25,,,,,,,,
2017-03-26,,,,,,,,
2017-03-27,,,,,,,,
2017-03-28,,,,,,,,
2017-03-29,,,,,,,,
2017-03-30,,,,,,,,
2017-03-31,,,,,,,,
2017-04-01,,,,,,,,
2017-04-02,,,,,,,,
2017-04-03,,,,,,,,
2017-04-04,,,,,,,,
2017-04-05,,,,,,,,
2017-04-06,,,,,,,,
2017-04-07,,,,,,,,
2017-04-08,,3,,,,4,,
2017-04-09,,,,,,,,
2017-04-10,,,,,,,,
2017-04-11,,24,,,,26,,
2017-04-12,,1,,,,2,,
2017-04-13,,3,,,,5,,
2017-04-14,,14,,,,15,,
2017-04-15,,16,,,,17,,
2017-04-16,,1,,,,2,,
2017-04-17,,67,,,,63,,
2017-04-18,,24,,,,25,,
2017-04-19,,2,,,,3,,
2017-04-20,,9,,,,8,,
2017-04-21,,,,,,,,
2017-04-22,,,,,,,,
2017-04-23,,,,,,,,
2017-04-24,,7,,,,6,,
2017-04-25,,7,,,,7,,
2017-04-26,,9,,,,11,,
2017-04-27,,,,,,,,
2017-04-28,,,,,,,,
2017-04-29,,,,,,,,
2017-04-30,,,,,,,,
2017-05-01,,,,,,,,
2017-05-02,,6,,,,6,,
2017-05-03,,6,,,,7,,
2017-05-04,,4,,,,3,,
2017-05-05,,2,,,,4,,
2017-05-06,,,,,,,,
2017-05-07,,,,,,,,
2017-05-08,,,,,,,,
2017-05-09,,,,,,,,
2017-05-10,,1,,,,2,,
2017-05-11,,3,,,,5,,
2017-05-12,,2,,,,4,,
2017-05-13,,10,,,,9,,
2017-05-14,,6,,,,7,,
2017-05-15,,2,,,,4,,
2017-05-16,,3,,,,3,,
2017-05-17,,5,,,,5,,
2017-05-18,,3,,,,5,,
2017-05-19,,3,,,,5,,
2017-05-20,,8,,,,8,,
2017-05-21,,,,,,,,
2017-05-22,,,,,,,,
2017-05-23,,,,,,,,
2017-05-24,,,,,,,,
2017-05-25,,2,,,,3,,
2017-05-26,,2,,,,4,,
2017-05-27,,6,,,,7,,
2017-05-28,,4,,,,2,,
2017-05-29,,4,,,,8,,
2017-05-30,,7,,,,9,,
2017-05-31,,,,,,,,
2017-06-01,,,,,,,,
2017-06-02,,4,,,,4,,
2017-06-03,,3,,,,4,,
2017-06-04,,2,,,,4,,
2017-06-05,,4,,,,6,,
2017-06-06,,2,,,,3,,
2017-06-07,,3,,,,5,,
2017-06-08,,5,,,,9,,
2017-06-09,,6,,,,7,,
2017-06-10,,10,,,,10,,
2017-06-11,,2,,,,3,,
2017-06-12,,2,,,,3,,
2017-06-13,,,,,,,,
2017-06-14,,,,,,,,
2017-06-15,,,,,,,,
2017-06-16,,,,,,,,
2017-06-17,,,,,,,,
2017-06-18,,2,,,,3,,
2017-06-19,,2,,,,3,,
2017-06-20,,1,,,,2,,
2017-06-21,,1,,,,2,,
2017-06-22,,1,,,,2,,
2017-06-23,,12,,,,6,,
2017-06-24,,5,,,,8,,
2017-06-25,,4,,,,6,,
2017-06-26,,2,,,,3,,
2017-06-27,,8,,,,8,,
2017-06-28,,14,,,,7,,
2017-06-29,,2,,,,3,,
2017-06-30,,3,,,,4,,
2017-07-01,,3,,,,2,,
2017-07-02,,2,,,,3,,
2017-07-03,,1,,,,2,,
2017-07-04,,2,,,,3,,
2017-07-05,,,,,,,,
2017-07-06,,,,,,,,
2017-07-07,,9,,,,9,,
2017-07-08,,3,,,,5,,
2017-07-09,,,,,,,,
2017-07-10,,,,,,,,
2017-07-11,,2,,,,4,,
2017-07-12,,3,,,,2,,
2017-07-13,,1,,,,2,,
2017-07-14,,2,,,,4,,
2017-07-15,,,,,,,,
2017-07-16,,,,,,,,
2017-07-17,,4,,,,3,,
2017-07-18,,4,,,,5,,
2017-07-19,,1,,,,2,,
2017-07-20,,1,,,,2,,
2017-07-21,,1,,,,2,,
2017-07-22,,1,,,,2,,
2017-07-23,,2,,,,4,,
2017-07-24,,,,,,,,
2017-07-25,,,,,,,,
2017-07-26,,,,,,,,
2017-07-27,,,,,,,,
2017-07-28,,,,,,,,
2017-07-29,,3,,,,5,,
2017-07-30,,2,,,,4,,
2017-07-31,,1,,,,2,,
2017-08-01,,9,,,,9,,
2017-08-02,,2,,,,3,,
2017-08-03,,1,,,,2,,
2017-08-04,,4,,,,6,,
2017-08-05,,1,,,,2,,
2017-08-06,,4,,,,5,,
2017-08-07,,3,,,,5,,
2017-08-08,,8,,,,9,,
2017-08-09,,2,,,,2,,
2017-08-10,,3,,,,6,,
2017-08-11,,7,,,,9,,
2017-08-12,,2,,,,3,,
2017-08-13,,9,,,,8,,
2017-08-14,,5,,,,6,,
2017-08-15,,,,,,,,
2017-08-16,,,,,,,,
2017-08-17,,5,,,,6,,
2017-08-18,,4,,,,7,,
2017-08-19,,1,,,,2,,
2017-08-20,,3,,,,4,,
2017-08-21,,9,,,,10,,
2017-08-22,,3,,,,3,,
2017-08-23,,,,,,,,
2017-08-24,,,,,,,,
2017-08-25,,8,,,,5,,
2017-08-26,,7,,,,8,,
2017-08-27,,4,,,,6,,
2017-08-28,,4,,,,5,,
2017-08-29,,8,,,,8,,
2017-08-30,,2,,,,3,,
2017-08-31,,1,,,,2,,
2017-09-01,,4,,,,7,,
2017-09-02,,16,,,,18,,
2017-09-03,,8,,,,8,,
2017-09-04,,4,,,,5,,
2017-09-05,,8,,,,14,,
2017-09-06,,22,,,,23,,
2017-09-07,,8,,,,11,,
2017-09-08,,4,,,,6,,
2017-09-09,,22,,,,24,,
2017-09-10,,9,,,,9,,
2017-09-11,,28,,,,20,,
2017-09-12,,11,,,,12,,
2017-09-13,,9,,,,13,,
2017-09-14,,3,,,,5,,
2017-09-15,,4,,,,7,,
2017-09-16,,5,,,,9,,
2017-09-17,,2,,,,3,,
2017-09-18,,6,,,,9,,
2017-09-19,,6,,,,10,,
2017-09-20,,11,,,,14,,
2017-09-21,,5,,,,3,,
2017-09-22,,15,,,,17,,
2017-09-23,,14,,,,13,,
2017-09-24,,9,,,,8,,
2017-09-25,,21,,,,25,,
2017-09-26,,23,,,,27,,
2017-09-27,,40,,,,34,,
2017-09-28,,56,,,,44,,
2017-09-29,,37,,,,40,,
2017-09-30,,71,,,,66,,
2017-10-01,,205,,,,193,,
2017-10-02,,325,,,,292,,
2017-10-03,,122,,,,132,,
2017-10-04,,81,,,,82,,
2017-10-05,,85,,,,72,,
2017-10-06,,38,,,,40,,
2017-10-07,,92,,,,88,,
2017-10-08,,115,,,,103,,
2017-10-09,376588.188787,45,0.0,0.31565,16776.0,56,1578.25,
2017-10-10,348350.185593,43,0.0,0.252402,20495.0,53,631.005,
2017-10-11,86864.6984698,58,0.0,0.19818,16009.0,59,266.51969757,
2017-10-12,150040.470125,62,0.0,0.202347,30129.0,68,585.9564426,
2017-10-13,257844.659864,40,0.0,0.214954,34592.0,47,591.1235,
2017-10-14,156382.424631,65,0.0,0.187942,14610.0,70,498.422184,
2017-10-15,120817.619355,39,0.0,0.220156,6825.0,47,550.39,
2017-10-16,157961.823408,33,0.0,0.187672,39622.0,37,511.256625416,
2017-10-17,136719.379161,38,0.0,0.181137,17036.0,33,307.9329,
2017-10-18,75153.5502065,36,0.0,0.186608,26564.0,40,924.616873421,
2017-10-19,76676.0163849,47,0.0,0.172494,24265.0,49,662.031972,
2017-10-20,90614.7081136,30,0.0,0.169852,5704.0,34,515.260111354,
2017-10-21,73309.5027013,34,0.0,0.169492,22640.0,32,445.763981195,
2017-10-22,196744.686064,38,0.0,0.164421,9852.0,39,974.423627874,
2017-10-23,138843.465533,42,0.0,0.161659,35983.0,37,359.691275,
2017-10-24,98426.4637386,38,0.0,0.134892,48705.0,36,694.6938,
2017-10-25,31439.9233654,27,0.0,0.14282,1482.0,31,71.41,
2017-10-26,76984.0024602,23,0.0,0.14689,42943.0,24,1026.02665,
2017-10-27,73216.603976,30,0.0,0.165609,21020.0,30,594.867528,
2017-10-28,8725.10414451,29,0.0,0.13656,3590.0,31,68.28,
2017-10-29,50768.829978,26,0.0,0.159122,5246.0,33,469.74963067,
2017-10-30,61799.2241391,25,0.0,0.163747,7203.0,23,327.494,
2017-10-31,83123.9239751,36,0.0,0.144205,46345.0,37,789.071734375,
2017-11-01,135554.842157,35,0.0,0.146731,58795.0,34,1467.31,
2017-11-02,39250.9310468,25,0.0,0.142061,20687.0,26,562.39509292,
2017-11-03,166330.4999,28,0.0,0.135774,19424.0,30,638.937499102,
2017-11-04,39416.4429774,26,0.0,0.143249,15995.0,26,847.035115062,
2017-11-05,7964.3210974,13,0.0,0.145499,6183.0,14,318.497311,
2017-11-06,89321.4938975,28,0.0,0.153184,18772.0,29,753.627979696,
2017-11-07,72752.1602514,31,0.0,0.095705,21794.0,32,492.483335004,
2017-11-08,130468.56572,34,0.0,0.12275,13642.0,34,557.914122335,
2017-11-09,186951.696502,51,0.0,0.120051,21441.0,56,600.255,
2017-11-10,161012.977943,25,0.0,0.156775,33552.0,25,5713.79109298,
2017-11-11,368880.786137,14,0.0,0.142234,2136.0,16,7544.56691921,
2017-11-12,56453.169115,19,0.0,0.132139,12190.0,21,1228.93639594,
2017-11-13,144431.240962,23,0.0,0.143723,21381.0,23,715.596817,
2017-11-14,138935.78694,42,0.0,0.141815,34067.0,38,586.759548998,
2017-11-15,54154.7565799,41,0.0,0.139026,12695.0,39,194.63634439,
2017-11-16,108868.087024,37,21866400.0,0.120169,81554.0,34,549.773175,
2017-11-17,116538.422222,35,25761900.0,0.141578,47733.0,34,707.89,
2017-11-18,941425.187774,32,25069600.0,0.137773,21093.0,31,950.462654821,
2017-11-19,56255.0627205,26,26035000.0,0.143078,15466.0,27,532.890259342,
2017-11-20,64711.4391513,30,27860200.0,0.153109,73699.0,34,524.6279885,
2017-11-21,23485.3276466,26,28808100.0,0.158318,7051.0,24,158.318,
2017-11-22,203287.082525,57,30197000.0,0.165951,31200.0,50,414.8775,
2017-11-23,305843.112545,123,34154500.0,0.1877,199411.0,88,938.5,
2017-11-24,102956.400651,62,42282000.0,0.232366,46103.0,63,539.56583338,
2017-11-25,815401.76016,57,40783200.0,0.224129,51677.0,51,1120.645,
2017-11-26,195290.459212,62,43926200.0,0.241402,42443.0,51,1013.88528951,
2017-11-27,190461.7985,40,41345300.0,0.227218,55006.0,44,378.090752,
2017-11-28,62391.9985063,45,41827900.0,0.22987,28080.0,46,459.74,
2017-11-29,61323.0423464,55,44108500.0,0.242403,12541.0,50,315.1239,
2017-11-30,388623.845866,43,40362100.0,0.221815,142725.0,44,898.35075,
2017-12-01,127153.921119,69,45211300.0,0.248464,68615.0,57,970.25192,
2017-12-02,817444.074314,80,54578700.0,0.299943,74698.0,80,2011.9952408,
2017-12-03,86436.0829243,51,56069000.0,0.308134,63048.0,41,502.25842,
2017-12-04,193324.39288,64,58508900.0,0.321543,59232.0,61,1471.99329981,
2017-12-05,281573.696515,58,65261500.0,0.358652,56484.0,53,988.11674542,
2017-12-06,429462.722973,118,73955900.0,0.406433,236956.0,104,1013.8471185,
2017-12-07,3223557.53673,102,127520000.0,0.700801,502319.0,83,2452.4530995,
2017-12-08,1120492.23467,103,102436000.0,0.559875,360288.0,101,811.81875,
2017-12-09,1919061.55156,79,98808800.0,0.540047,187639.0,81,2430.2115,
2017-12-10,549299.274291,93,89339000.0,0.488289,86143.0,80,1319.845167,
2017-12-11,415852.794955,84,80122300.0,0.437915,220240.0,80,602.133125,
2017-12-12,370699.77521,120,85582000.0,0.467755,97331.0,125,1286.32623496,
2017-12-13,1497712.36667,90,107754000.0,0.588937,89749.0,101,1101.31219,
2017-12-14,305416.260955,83,117335000.0,0.641305,246756.0,72,1795.654,
2017-12-15,634228.786345,122,121007000.0,0.661373,289483.0,115,1322.746,
2017-12-16,306571032.826,92,114588000.0,0.62629,376054.0,87,1038.14760772,
2017-12-17,530005.699069,135,109594000.0,0.598993,351307.0,117,1317.7846,
2017-12-18,743266.878122,89,111531000.0,0.609583,687354.0,86,2267.64876,
2017-12-19,726433.254364,147,113788000.0,0.62192,725817.0,132,1035.68524176,
2017-12-20,4507588.0289,189,192554000.0,1.05,925381.0,174,3150.0,
2017-12-21,5462206.38717,171,146402000.0,0.800172,220805.0,173,830.578536,
2017-12-22,1129168.07864,131,132476000.0,0.724057,583378.0,127,905.07125,
2017-12-23,331481979.144,225,102837000.0,0.562065,839943.0,205,1011.717,
2017-12-24,1791905.81606,255,96336600.0,0.526535,811846.0,211,1211.0305,
2017-12-25,738356.05203,195,85393200.0,0.466724,637287.0,167,1166.81,
2017-12-26,830309.398899,232,97866300.0,0.534896,671928.0,208,1259.03975684,
2017-12-27,962604.842064,198,130951000.0,0.715722,444550.0,196,1088.86724331,
2017-12-28,945414.914212,135,129694000.0,0.708854,359094.0,125,1515.30643256,
2017-12-29,455115.654372,92,110578000.0,0.604372,337828.0,98,1016.251518,
2017-12-30,38443586.752,279,127277000.0,0.695645,462467.0,237,6629.49685,
2017-12-31,12772500.5116,213,120569000.0,0.658982,554462.0,202,3863.281975,
2018-01-01,5679039.00111,445,129169000.0,0.705983,2409160.0,379,1356.899326,
2018-01-02,13314302.6965,858,249791000.0,1.37,5207890.0,724,1455.41384642,
2018-01-03,10027676.611,288,443175000.0,2.42,2351030.0,291,3680.82,
2018-01-04,21664158.1242,237,384571000.0,2.1,2443920.0,237,2410.0501131,
2018-01-05,35601279.2064,291,389488000.0,2.13,4205640.0,322,2153.43,
2018-01-06,20610090.8603,351,459475000.0,2.51,3014060.0,341,3764.99998717,
2018-01-07,50009211.9461,327,430297000.0,2.35,2609570.0,329,1175.0,
2018-01-08,8606919.18321,259,534516000.0,2.92,2470460.0,270,2199.928,
2018-01-09,31803123.5708,247,528607000.0,2.89,2547570.0,264,5785.78,
2018-01-10,18012342.8924,351,509893000.0,2.79,2766430.0,372,7175.88,
2018-01-11,2417961.15064,174,454689000.0,2.49,1791770.0,204,1269.9,
2018-01-12,3826293.44055,199,444080000.0,2.43,1629480.0,224,1579.5,
2018-01-13,5275884.80512,221,458472000.0,2.51,2718050.0,240,2012.6686,
2018-01-14,4636084.69832,224,495134000.0,2.71,1931400.0,255,1942.54860684,
2018-01-15,1971978.56535,163,486415000.0,2.66,1964590.0,188,2120.8970818,
2018-01-16,2476703.89784,187,402094000.0,2.2,1596940.0,217,1446.764,
2018-01-17,1712755.50804,222,465579000.0,1.91,1240490.0,231,946.721054385,
2018-01-18,7078558.73465,208,483172000.0,1.98,1256730.0,215,1150.78563567,
2018-01-19,5459957.10721,307,473735000.0,1.94,1149220.0,297,1097.12868694,
2018-01-20,1277885.7015,176,454369000.0,1.86,799479.0,168,931.86,
2018-01-21,1056656.1097,154,488172000.0,2.0,1000580.0,156,802.0,
2018-01-22,962366.162029,171,473951000.0,1.94,683656.0,181,1107.934,
2018-01-23,1294778.4978,163,432874000.0,1.77,807366.0,161,906.24,
2018-01-24,294339849.52,188,415782000.0,1.7,1559140.0,171,1910.4537814,
2018-01-25,964488.180455,131,454196000.0,1.86,1024320.0,124,1229.46,
2018-01-26,51154484.277,161,611258000.0,1.78,1015660.0,172,1343.920648,
2018-01-27,3534471.86288,153,630823000.0,1.83,720460.0,155,454.92505641,
2018-01-28,5032158.05221,260,680087000.0,1.98,1646840.0,269,1035.2925,
2018-01-29,2587794.13197,268,819101000.0,2.38,1836730.0,268,1419.67,
2018-01-30,1769132.87472,205,791971000.0,2.3,1629830.0,188,1495.0,
2018-01-31,1097870.81862,138,673118000.0,1.96,1423700.0,151,605.27147149,
2018-02-01,1108590.07397,147,698479000.0,2.03,973099.0,148,1059.09363,
2018-02-02,2205029.34144,130,640989000.0,1.86,917640.0,139,1055.96826843,
2018-02-03,645649.866738,134,548548000.0,1.59,701289.0,141,569.348205675,
2018-02-04,1505524.54994,104,592649000.0,1.72,663940.0,108,813.29367262,
2018-02-05,1133207.62511,141,510504000.0,1.48,764470.0,138,1182.52,
2018-02-06,2282355.52963,163,386224000.0,1.12,1148330.0,165,751.3912,
2018-02-07,1245568.76909,127,481604000.0,1.4,744113.0,133,573.0566142,
2018-02-08,545199.3401,88,419729000.0,1.22,479390.0,106,619.618785,
2018-02-09,315693.244229,128,474355000.0,1.38,710388.0,123,541.2585354,
2018-02-10,809579.301685,142,515456000.0,1.5,562500.0,152,877.275,
2018-02-11,466345.499341,99,506200000.0,1.47,516198.0,110,808.5,
2018-02-12,9558259.24158,156,494427000.0,1.44,1196790.0,181,1038.96,
2018-02-13,26250307.5004,140,594594000.0,1.73,762763.0,152,959.689041517,
2018-02-14,44300419.8638,182,612423000.0,1.71,1635590.0,181,863.567955,
2018-02-15,1561518.82511,145,840560000.0,2.34,1390900.0,161,1217.736,
2018-02-16,2814795.0684,134,720841000.0,2.01,745385.0,126,1674.33,
2018-02-17,897240.302191,130,810646000.0,2.26,1098650.0,130,983.702979921,
2018-02-18,549223.43914,80,815915000.0,2.27,914941.0,96,896.65,
2018-02-19,571968.636472,107,796025000.0,2.22,842577.0,122,769.78722,
2018-02-20,1628170.54013,167,854197000.0,2.38,1265460.0,191,1184.05,
2018-02-21,408295.933282,124,826161000.0,2.3,785626.0,152,1054.55,
2018-02-22,1158568.64426,120,760782000.0,2.12,994730.0,122,1032.349529,
2018-02-23,1251801.32685,84,705294000.0,1.97,666451.0,102,820.17180405,
2018-02-24,521406.86301,73,681001000.0,1.9,597030.0,89,755.61214,
2018-02-25,3418819.09614,122,682554000.0,1.9,307627.0,134,2090.0,
2018-02-26,432712.376311,70,667228000.0,1.86,513974.0,87,1019.28,
2018-02-27,1216820.35918,114,735864000.0,2.05,698792.0,112,1659.9875,
2018-02-28,1611591.83232,109,657274000.0,1.83,905598.0,123,3478.56856986,
2018-03-01,585096.171732,109,625089000.0,1.74,883064.0,108,1591.68762,
2018-03-02,397617.737379,98,632524000.0,1.76,859359.0,88,1240.650312,
2018-03-03,599221.46095,61,638028000.0,1.78,771788.0,81,1246.0,
2018-03-04,2777319.49941,89,645349000.0,1.8,860770.0,94,1407.53341967,
2018-03-05,1018560.37587,127,654590000.0,1.82,1461500.0,136,1373.48274518,
2018-03-06,4241754.38795,99,613040000.0,1.71,1070350.0,113,1043.76007026,
2018-03-07,699667.333677,100,580362000.0,1.61,864987.0,120,1609.11077285,
2018-03-08,1022716.54192,136,552359000.0,1.54,783809.0,128,1472.451904,
2018-03-09,2279097.04807,134,478274000.0,1.33,791133.0,127,1232.8435,
2018-03-10,863480.996659,81,552009000.0,1.54,834448.0,81,770.000096466,
2018-03-11,400725.640894,89,483866000.0,1.35,704859.0,95,949.068329031,
2018-03-12,354150.199926,76,522358000.0,1.45,623472.0,86,581.42245,
2018-03-13,458867.195355,97,472153000.0,1.31,614413.0,102,914.38,
2018-03-14,1025648.01705,140,482802000.0,1.34,666784.0,140,670.0,
2018-03-15,657848.583278,113,436558000.0,1.21,892659.0,116,1140.66141343,
2018-03-16,409286.805402,96,411653000.0,1.15,561047.0,105,1148.85,
2018-03-17,1994884.75823,87,414025000.0,1.15,488605.0,110,572.125,
2018-03-18,2526569.92323,156,369724000.0,1.03,681938.0,156,1028.97,
2018-03-19,360010.614881,98,374772000.0,1.04,643322.0,109,1040.0,
2018-03-20,284864.631159,109,394911000.0,1.1,641695.0,110,596.70072,
2018-03-21,921181.169327,84,410287000.0,1.14,546389.0,82,583.3665,
2018-03-22,367191.49763,68,434016000.0,1.21,466219.0,81,605.2553342,
2018-03-23,470919.072242,61,409745000.0,1.14,539824.0,73,1499.1,
2018-03-24,362792.016487,72,406961000.0,1.13,429531.0,82,940.01247398,
2018-03-25,105743.140949,32,397064000.0,1.1,395674.0,46,211.53,
2018-03-26,56467304.0249,81,420014000.0,1.17,652340.0,90,1645.02,
2018-03-27,436753.94323,111,415300000.0,1.16,385060.0,114,1310.8,
2018-03-28,363864.49707,56,384723000.0,1.07,330642.0,73,859.0495,
2018-03-29,199485.358827,74,389613000.0,1.08,496590.0,89,718.439813568,
2018-03-30,252867.274531,61,354810000.0,0.986726,470690.0,69,395.67712599,
2018-03-31,193934.141507,55,336584000.0,0.936039,370595.0,71,372.1691064,
2018-04-01,115072.8827,60,328428000.0,0.913359,307471.0,62,204.63808395,
2018-04-02,2897141.00113,82,340102000.0,0.945823,274856.0,93,331.03805,
2018-04-03,217296.484785,45,334484000.0,0.9302,298623.0,63,439.9846,
2018-04-04,1371464.9107,62,357739000.0,0.994873,365024.0,79,3482.0555,
2018-04-05,452361.22357,72,325179000.0,0.904269,408782.0,79,813.3899655,
2018-04-06,319008.146507,48,341575000.0,0.949855,321127.0,56,1008.40886372,
2018-04-07,150542.672491,41,327657000.0,0.911151,325205.0,47,366.824836845,
2018-04-08,266434.539683,54,339241000.0,0.943365,305997.0,70,471.6825,
2018-04-09,196701.221282,81,354314000.0,0.985279,708154.0,79,152.3241334,
2018-04-10,319638.997956,73,342688000.0,0.95295,1972590.0,85,327.223971,
