id,name,category,subcategory,type,unit,interval,interval_rt,description
AdrActCnt,"Addresses, active, count","Addresses","Active","Sum","Addresses","1 day","1 block","The sum count of unique addresses that were active in the network (either as a recipient or originator of a ledger change) that interval. All parties in a ledger change action (recipients and originators) are counted. Individual addresses are not double-counted if previously active."
BlkCnt,"Block, count","Network Usage","Blocks","Sum","Blocks","1 day","","The sum count of blocks created that interval that were included in the main (base) chain."
BlkSizeByte,"Block, size, bytes","Network Usage","Blocks","Sum","Bytes","1 day","1 block","The sum of the size (in bytes) of all blocks created that interval."
BlkSizeMeanByte,"Block, size, mean, bytes","Network Usage","Blocks","Mean","Bytes","1 day","","The mean size (in bytes) of all blocks created that day."
CapMVRVCur,"Capitalization, MVRV, current supply","Market","Market Capitalization","Ratio","Dimensionless","1 day","","The ratio of the sum USD value of the current supply to the sum ""realized"" USD value of the current supply."
CapMrktCurUSD,"Capitalization, market, current supply, USD","Market","Market Capitalization","Product","USD","1 day","","The sum USD value of the current supply. Also referred to as network value or market capitalization."
CapRealUSD,"Capitalization, realized, USD","Market","Market Capitalization","Product","USD","1 day","","The sum USD value based on the USD closing price on the day that a native unit last moved (i.e., last transacted) for all native units."
DiffMean,"Difficulty, mean","Mining","Mining","Mean","Dimensionless","1 day","1 block","The mean difficulty of finding a hash that meets the protocol-designated requirement (i.e., the difficulty of finding a new block) that interval. The requirement is unique to each applicable cryptocurrency protocol. Difficulty is adjusted periodically by the protocol as a function of how much hashing power is being deployed by miners."
FeeMeanNtv,"Fees, transaction, mean, native units","Fees and Revenue","Fees","Mean","Native units","1 day","1 block","The mean fee per transaction in native units that interval."
FeeMeanUSD,"Fees, transaction, mean, USD","Fees and Revenue","Fees","Mean","USD","1 day","1 block","The USD value of the mean fee per transaction that interval."
FeeMedNtv,"Fees, transaction, median, native units","Fees and Revenue","Fees","Median","Native units","1 day","1 block","The median fee per transaction in native units that interval."
FeeMedUSD,"Fees, transaction, median, USD","Fees and Revenue","Fees","Median","USD","1 day","1 block","The USD value of the median fee per transaction that interval."
FeeTotNtv,"Fees, total, native units","Fees and Revenue","Fees","Sum","Native units","1 day","1 block","The sum of all fees paid to miners that interval. Fees do not include new issuance."
FeeTotUSD,"Fees, total, USD","Fees and Revenue","Fees","Sum","USD","1 day","1 block","The sum USD value of all fees paid to miners that interval. Fees do not include new issuance."
HashRate,"Hash rate, mean","Mining","Hash Rate","Mean","Varies","1 day","","The mean rate at which miners are solving hashes that interval. Hash rate is the speed at which computations are being completed across all miners in the network. The unit of measurement varies depending on the protocol."
IssContNtv,"Issuance, continuous, native units","Supply","Issuance","Sum","Native units","1 day","1 block","The sum of new native units issued that interval. Only those native units that are issued by a protocol-mandated continuous emission schedule are included (i.e., units manually released from escrow or otherwise disbursed are not included)."
IssContPctAnn,"Issuance, continuous, percent, annualized","Supply","Issuance","Percentage","Dimensionless","1 year","","The percentage of new native units (continuous) issued over that interval, extrapolated to one year (i.e., multiplied by 365), and divided by the current supply at the end of that interval. Also referred to as the annual inflation rate."
IssContUSD,"Issuance, continuous, USD","Supply","Issuance","Sum","USD","1 day","1 block","The sum USD value of new native units issued that interval. Only those native units that are issued by a protocol-mandated continuous emission schedule are included (i.e., units manually released from escrow or otherwise disbursed are not included)."
IssTotNtv,"Issuance, total, native units","Supply","Issuance","Sum","Native units","1 day","1 block","The sum of all new native units issued that interval."
IssTotUSD,"Issuance, total, USD","Supply","Issuance","Sum","USD","1 day","1 block","The sum USD value of all new native units issued that interval."
NVTAdj,"NVT, adjusted","Economics","Valuation","Ratio","Dimensionless","1 day","","The ratio of the network value (or market capitalization, current supply) divided by the adjusted transfer value. Also referred to as NVT."
NVTAdj90,"NVT, adjusted, 90d MA","Economics","Valuation","Ratio","Dimensionless","1 day","","The ratio of the network value (or market capitalization, current supply) to the 90-day moving average of the adjusted transfer value. Also referred to as NVT."
PriceBTC,"Price, BTC","Market","Price","NA","BTC","1 day","1 block","The fixed closing price of the asset as of 00:00 UTC the following day (i.e., midnight UTC of the current day) for end-of-day data or the closest prior hour (nearest to that block) for block-by-block data, denominated in BTC."
PriceUSD,"Price, USD","Market","Price","NA","USD","1 day","1 block","The fixed closing price of the asset as of 00:00 UTC the following day (i.e., midnight UTC of the current day) for end-of-day data or the closest prior hour (nearest to that block) for block-by-block data, denominated in USD."
ROI1yr,"ROI, percent, 1yr","Market","Returns","Percentage","Dimensionless","1 year","","The return on investment for the asset assuming a purchase 12 months prior."
ROI30d,"ROI, percent, 30d","Market","Returns","Percentage","Dimensionless","30 days","","The return on investment for the asset assuming a purchase 30 days prior."
SplyCur,"Supply, current","Supply","Current","Sum","Native units","All time","","The sum of all native units ever created and visible on the ledger (i.e., issued) as of that interval. For account-based protocols, only accounts with positive balances are counted."
SplyExpFut10yrCMBI,"Supply, future expected, next 10yr (CMBI)","Supply","Future Expected","Sum","Native units","10 years","","The sum of all native units counting current supply and including all those expected to be issued over the next 10 years from that interval if the current known continuous issuance schedule is followed. Future expected hard-forks that will change the continuous issuance are not considered until the day they are activated/enforced."
SplyFF,"Supply, free float","Supply","Free Float","Sum","Native units","1 day","","Free float supply refers to the number of native units of a crypto asset that are readily available to trade in open markets (i.e. not restricted) at the end of the time interval. It includes all native units visible on the ledger minus company, foundation and founding team native units; investor units that have been formally restricted (through legal or smart contracts); burnt units that are still visible on chain; or provably lost units (if >0.25% of supply)."
TxCnt,"Transactions, count","Transactions","Transactions","Sum","Transactions","1 day","1 block","The sum count of transactions that interval. Transactions represent a bundle of intended actions to alter the ledger initiated by a user (human or machine). Transactions are counted whether they execute or not and whether they result in the transfer of native units or not (a transaction can result in no, one, or many transfers). Changes to the ledger mandated by the protocol (and not by a user) or post-launch new issuance issued by a founder or controlling entity are not included here."
TxTfrCnt,"Transactions, transfers, count","Transactions","Transfers","Sum","Transfers","1 day","1 block","The sum count of transfers that interval. Transfers represent movements of native units from one ledger entity to another distinct ledger entity. Only transfers that are the result of a transaction and that have a positive (non-zero) value are counted."
TxTfrValAdjNtv,"Transactions, transfers, value, adjusted, native units","Transactions","Transfer Value","Sum","Native units","1 day","","The sum of native units transferred between distinct addresses that interval removing noise and certain artifacts."
TxTfrValAdjUSD,"Transactions, transfers, value, adjusted, USD","Transactions","Transfer Value","Sum","USD","1 day","","The USD value of the sum of native units transferred between distinct addresses that interval removing noise and certain artifacts."
TxTfrValMeanNtv,"Transactions, transfers, value, mean, native units","Transactions","Transfer Value","Mean","Native units","1 day","1 block","The mean count of native units transferred per transaction (i.e., the mean ""size"" of a transaction) between distinct addresses that interval."
TxTfrValMeanUSD,"Transactions, transfers, value, mean, USD","Transactions","Transfer Value","Mean","USD","1 day","1 block","The sum USD value of native units transferred divided by the count of transfers (i.e., the mean ""size"" in USD of a transfer) between distinct addresses that interval."
TxTfrValMedNtv,"Transactions, transfers, value, median, native units","Transactions","Transfer Value","Median","Native units","1 day","1 block","The median count of native units transferred per transfer (i.e., the median ""size"" of a transfer) between distinct addresses that interval."
TxTfrValMedUSD,"Transactions, transfers, value, median, USD","Transactions","Transfer Value","Median","USD","1 day","1 block","The median USD value transferred per transfer (i.e., the median ""size"" in USD of a transfer) between distinct addresses that interval."
TxTfrValNtv,"Transactions, transfers, value, native units","Transactions","Transfer Value","Sum","Native units","1 day","1 block","The sum of native units transferred (i.e., the aggregate ""size"" of all transfers) between distinct addresses that interval."
TxTfrValUSD,"Transactions, transfers, value, USD","Transactions","Transfer Value","Sum","USD","1 day","1 block","The sum USD value of all native units transferred (i.e., the aggregate size in USD of all transfers) between distinct addresses that interval."
VtyDayRet180d,"Volatility, daily returns, 180d","Market","Volatility","Ratio","Dimensionless","180 days","","The 180D volatility, measured as the standard deviation of the natural log of daily returns over the past 180 days."
VtyDayRet30d,"Volatility, daily returns, 30d","Market","Volatility","Ratio","Dimensionless","30 days","","The 30D volatility, measured as the standard deviation of the natural log of daily returns over the past 30 days."
VtyDayRet60d,"Volatility, daily returns, 60d","Market","Volatility","Ratio","Dimensionless","60 days","","The 60D volatility, measured as the standard deviation of the natural log of daily returns over the past 60 days."
